"practice","biome","species","is_anchor","rate","area_ha","duration_yr","S_bar","harvest_displacement","product_class","tau_2","R_mult","lambda_mult","c_mult","legally_protected","T_rot_silv","T_thin_silv","f_thin_silv","forest_type","source"
"Continuous stock management","Temperate","Mixed broadleaves",TRUE,0.45,11,30,250,0.9,"SL",30,0.95,0.95,0.95,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Forested peatland rewetting","Temperate","Drained peatland",FALSE,2,135,30,150,0.15,"PW",30,0.9,0.95,0.9,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Species diversification","Boreal","Climate-adapted mix",FALSE,1.8,150,30,75,0,"SL",30,0.8,0.85,0.95,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Species diversification","Temperate","Climate-adapted mix",TRUE,1.8,150,30,140,0,"SL",30,0.8,0.85,0.95,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Species diversification","Mediterranean","Climate-adapted mix",FALSE,1.8,150,30,55,0,"SL",30,0.8,0.85,0.95,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Structural diversification","Boreal","Mixed conifers",FALSE,1,100,30,120,0.3,"SL",30,0.95,0.8,0.9,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Structural diversification","Temperate","Mixed species",TRUE,1.5,100,30,230,0.3,"SL",30,0.95,0.8,0.9,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Structural diversification","Mediterranean","Cork oak",FALSE,1,100,30,60,0.3,"SL",30,0.95,0.8,0.9,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Fuel management","Temperate","Mixed broadleaves",FALSE,1.5,500,15,170,0,NA,15,0.6,0.55,0.7,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Fuel management","Mediterranean","Maritime pine",TRUE,4,500,15,80,0,NA,15,0.6,0.55,0.7,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Peatland rewetting","Temperate","Paludiculture",FALSE,2.5,135,50,60,0,NA,50,0.7,0.85,0.8,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Reforestation","Boreal","Mixed conifers",FALSE,0.5,11,30,120,-0.03,"SL",30,0.95,0.95,0.9,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Reforestation","Temperate","Mixed broadleaves",TRUE,0.8,11,30,160,-0.03,"SL",30,0.95,0.95,0.9,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Reforestation","Mediterranean","Maritime pine",FALSE,0.5,11,30,55,-0.03,"SL",30,0.95,0.95,0.9,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Agroforestry","Temperate","Native broadleaves",FALSE,1.9,15,30,100,-0.05,"WF",30,0.75,0.8,0.85,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Short-rotation plantation","Mediterranean","Eucalyptus",TRUE,2,47,30,40,-0.5,"PW",30,1.25,1.2,1,FALSE,12,0,0,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Extended rotation","Temperate","Beech/oak",TRUE,3.5,100,30,320,0.9,"SL",30,1.2,1.1,1,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Reduced harvest intensity","Temperate","Mixed broadleaves",TRUE,1.2,100,30,250,0.9,"PW",30,1.15,1.05,1,FALSE,NA,NA,NA,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Set-aside","Temperate","Norway spruce",TRUE,3,100,30,200,0.9,"SL",30,1,1,1.1,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Continuous stock management","Temperate","Mixed conifers",TRUE,0.3,11,30,180,0.9,"SL",30,0.95,0.95,0.95,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Protected afforestation","Temperate","Native pinewood",TRUE,5,47,100,150,0,NA,100,0.9,0.9,0.9,TRUE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Productive afforestation","Temperate","Productive oak/beech",TRUE,7,47,40,280,-0.1,"SL",40,0.9,0.9,0.9,TRUE,40,18,0.24,"broadleaf","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
"Reforestation","Temperate","Mixed conifers",TRUE,0.5,11,30,150,-0.03,"SL",30,0.95,0.95,0.9,FALSE,NA,NA,NA,"conifer","manuscript Table S1 (practice definitions); rates Chiti 2026 / source studies"
