scheme_id,scheme_name,country,dimension,parameter,value,value_min,value_max,unit,source,source_type,notes
KSF,Klimaskovfonden,DK,cross-cutting,n_projects,251,,,count,"klimaskovfonden.dk (Mar 2026)",web scraped,"246 forests + 5 wetland projects"
KSF,Klimaskovfonden,DK,cross-cutting,total_hectares,2823,,,ha,"klimaskovfonden.dk (Mar 2026)",web scraped,
KSF,Klimaskovfonden,DK,cross-cutting,practice_share_forest,0.97,,,share,"klimaskovfonden.dk (Mar 2026)",web scraped,"246/251 projects are forest (~97% by count)"
KSF,Klimaskovfonden,DK,cross-cutting,practice_share_wetland,0.03,,,share,"klimaskovfonden.dk (Mar 2026)",web scraped,"5/251 projects are wetland (~3% by count; 75 ha)"
KSF,Klimaskovfonden,DK,temporality,liability_distribution,,,,share,Klimaskovfonden standard,derived,"All projects receive fredskovspligt = permanent. Beta(5,1) on [80,100]: mean ~97 yr, skewed toward 100. Allows small tail for statutory amendment risk."
CA_USFP,California USFP,US,buffer,buffer_rate,0.134,0.087,0.192,share,"CARB (Jan 2022); Donnelly & Hoang (2022)",documentation,"Risk-rated: fire 2-4%, disease 3%, other 3%, financial 1-9%. EXCLUDED from integrity gap (no US biome params)."
CA_USFP,California USFP,US,buffer,buffer_pool_total,31000000,,,tCO2eq,"Donnelly & Hoang (2022)",web scraped,"31M credits in buffer pool (of 231M issued through 2021)"
CA_USFP,California USFP,US,buffer,buffer_fire_depletion,0.95,,,share,"Donnelly & Hoang (2022)",web scraped,"~95% of fire-allocated buffer depleted in <10 yr"
CA_USFP,California USFP,US,leakage,leakage_rate,0.20,,,share,"Murray et al. (2004); our correction",literature,"CARB does not quantify market leakage; 20% applied as analytical correction"
CA_USFP,California USFP,US,temporality,liability_years,100,40,100,years,CARB protocol,documentation,"100 yr nominal; effective lower bound ~40 yr"
CA_USFP,California USFP,US,cross-cutting,total_credits,201700000,,,tCO2eq,"VROD v2025-12 (Haya 2025)",database,"201.7M forest credits issued (excl. 37.3M buffer deposits)"
CA_USFP,California USFP,US,cross-cutting,n_projects,172,,,count,"VROD v2025-12 (Haya 2025)",database,"172 forest projects: 150 IFM, 13 Avoided Conversion, 9 Reforestation"
CA_USFP,California USFP,US,cross-cutting,practice_share_ifm,0.93,,,share,"VROD v2025-12 (Haya 2025)",database,"93% of forest credits from IFM (187.4M of 201.7M total)"
CA_USFP,California USFP,US,cross-cutting,practice_share_avoided_conversion,0.07,,,share,"VROD v2025-12 (Haya 2025)",database,"7% of forest credits from avoided conversion (14.2M of 201.7M)"
CA_USFP,California USFP,US,cross-cutting,practice_share_reforestation,0.00,,,share,"VROD v2025-12 (Haya 2025)",database,"9 reforestation projects registered but 0 credits issued"
CA_USFP,California USFP,US,temporality,liability_distribution,1.00,,,share,CARB protocol,derived,"All projects have 100 yr crediting period by protocol. No variation. Uniform[40,100] reflects effective lower bound from contract risk, not protocol choice."
CA_USFP,California USFP,US,cross-cutting,dimensions_compared,"L, T",,,,"See 09_scheme_comparison.R",code,"Buffer excluded; only leakage and temporality compared"
